id,airport_name,country,city,code
2549,Jalalabad Airport,AF,Jalalabad,JAA
2550,Kabul International Airport,AF,Kabul,KBL
2551,Ahmad Shah Baba International Airport / Kandahar Airfield,AF,Khvoshab,KDH
2552,Maymana Zahiraddin Faryabi Airport,AF,Maymana,MMZ
2553,Mazar-i-Sharif International Airport,AF,Mazar-i-Sharif,MZR
2554,Kunduz Airport,AF,Kunduz,UND
2555,Bahrain International Airport,BH,Manama,BAH
2556,Abha International Airport,SA,Abha,AHB
2557,Al-Ahsa International Airport,SA,Hofuf,HOF
2558,King Saud Bin Abdulaziz (Al Baha) Airport,SA,Al-Baha,ABT
2559,Bisha Airport,SA,Bisha,BHH
2560,King Fahd International Airport,SA,Ad Dammam,DMM
2561,King Salman Abdulaziz Airport,SA,Dawadmi,DWD
2562,King Abdulaziz Air Base,SA,Dhahran,DHA
2563,Jizan Regional Airport / King Abdullah bin Abdulaziz Airport,SA,Jizan,GIZ
2564,Gassim Airport,SA,Buraidah,ELQ
2565,Gurayat Domestic Airport,SA,Gurayat,URY
2566,Ha'il Airport,SA,Ha'il,HAS
2567,Jubail Airport,SA,Jubail,QJB
2568,King Abdulaziz International Airport,SA,Jeddah,JED
2569,King Khaled Military City Airport,SA,King Khaled Military City,KMC
2570,King Khalid Air Base,SA,Khamis Mushait,KMX
2571,Prince Mohammad Bin Abdulaziz Airport,SA,Medina,MED
2572,Najran Domestic Airport,SA,Najran,EAM
2573,Neom Bay Airport,SA,Sharma,NUM
2574,Al Qaisumah/Hafr Al Batin Airport,SA,Qaisumah,AQI
2575,Rafha Domestic Airport,SA,Rafha,RAH
2576,King Khaled International Airport,SA,Riyadh,RUH
2577,Arar Domestic Airport,SA,Arar,RAE
2578,Sharurah Domestic Airport,SA,Sharurah,SHW
2579,Al-Jawf Domestic Airport,SA,Al-Jawf,AJF
2580,Tabuk Airport,SA,Tabuk,TUU
2581,Ta’if Regional Airport,SA,Ta’if,TIF
2582,Turaif Domestic Airport,SA,Turaif,TUI
2583,Wadi Al Dawasir Domestic Airport,SA,Wadi Al Dawasir,WAE
2584,Al Wajh Domestic Airport,SA,Al Wajh,EJH
2585,Prince Abdul Mohsin bin Abdulaziz International Airport / Yanbu Airport,SA,Yanbu,YNB
2586,Abadan Airport,IR,Abadan,ABD
2587,Dezful Airport,IR,Dezful,DEF
2588,Aghajari Airport,IR,Aghajari,AKW
2589,Gachsaran Airport,IR,Gachsaran,GCH
2590,Shahid Asiyaee Airport,IR,Masjed Soleyman,QMJ
2591,Mahshahr Airport,IR,Mahshahr,MRX
2592,Lieutenant General Qasem Soleimani International Airport,IR,Ahvaz,AWZ
2593,Abu Musa Island Airport,IR,Abu Musa,AEU
2594,Bushehr Airport,IR,Bushehr,BUZ
2595,Jam Airport,IR,Jam,KNR
2596,Kish International Airport,IR,Kish Island,KIH
2597,Bandar Lengeh International Airport,IR,Bandar Lengeh,BDH
2598,Persian Gulf International Airport,IR,Khiyaroo,PGU
2599,Khark Airport,IR,Khark,KHK
2600,Siri Airport,IR,Siri,SXI
